slug,confidence,guests,organiser,title,how_found
domain-drinking-dialogues-2020-ending-ask-us-anything-party,NONE,,Kenny Baas-Schwegler,Domain-Drinking Dialogues - 2020 ending Ask us anything party,Domain-Drinking Dialogues=title
domain-drinking-dialogues-2nd-edition-2021-lean-coffee,NONE,,Kenny Baas-Schwegler,Domain-Drinking Dialogues 2nd edition - 2021 Lean coffee,Domain-Drinking Dialogues=title
domain-driven-frontend-with-francesco-strazzullo,MEDIUM,Francesco Strazzullo,Kenny Baas-Schwegler,Domain-Driven Frontend with Francesco Strazzullo,Francesco Strazzullo=title
domain-experiments-with-mike-wojtyna,MEDIUM,Mike Wojtyna,Kenny Baas-Schwegler,Domain Experiments with Mike Wojtyna,Mike Wojtyna=title
effective-team-collaboration-and-why-we-need-it-for-modern-product-experiences,HIGH,Dawn Ahukanna; Nivia Henry; Jessica Kerr; Ruth Malan; Rebecca Wirfs-Brock; Mathias Verraes; Trond Hjorteland,Kenny Baas-Schwegler,Effective team collaboration and why we need it for modern product experiences?,Dawn Ahukanna=body; Nivia Henry=body; Jessica Kerr=body; Ruth Malan=body; Rebecca Wirfs-Brock=body+known; Mathias Verraes=body+known; Trond Hjorteland=body
escaping-the-enshittification-trap-systems-thinking-for-sustainable-quality,NONE,,Andrea Magnorsky,Escaping the Enshittification Trap: Systems Thinking for Sustainable Quality,
eventstorming-types-and-heuristics-with-rebecca-paul-and-alberto,HIGH,Rebecca Wirfs-Brock; Paul Rayner,Kenny Baas-Schwegler,"EventStorming Types and Heuristics with Rebecca, Paul and Alberto",Rebecca Wirfs-Brock=body+known; Paul Rayner=body+known
experimenting-with-remote-big-picture-eventstorming,NONE,,Kenny Baas-Schwegler,Experimenting with remote Big Picture EventStorming,
experimenting-with-remote-wardley-mapping-with-nick-tune,HIGH,Nick Tune,Kenny Baas-Schwegler,Experimenting with Remote Wardley Mapping with Nick Tune,Nick Tune=title+known
fifty-ways-to-scale-your-agile-with-grady-booch,MEDIUM,Grady Booch,Kenny Baas-Schwegler,Fifty Ways to Scale Your Agile with Grady Booch,Grady Booch=title
fostering-autonomous-teams-with-proper-leadership-culture,MEDIUM,Marc Burgauer; Trond Hjorteland,Kenny Baas-Schwegler,Fostering autonomous teams with proper leadership culture,"Ellis de Haan=body; Marc Burgauer=body; Trond Hjorteland=body | REVIEW: ""Ellis de Haan"" looks like two names run together"
free-trial-workshop-first-steps-in-ddd-with-andrew-blacklivesmatter-edition,NONE,,Kenny Baas-Schwegler,Free Trial Workshop: First Steps in DDD with Andrew (#BlackLivesMatter edition),Domain-Driven Design'online=body
from-the-problem-to-software-a-walkthrough-with-krisztina-hirth,NONE,,Kenny Baas-Schwegler,From The Problem To Software - a Walkthrough with Krisztina Hirth,
hands-on-exploring-techniques-for-modelling-bounded-context-collaboration,NONE,,Kenny Baas-Schwegler,[Hands-on] Exploring Techniques For Modelling Bounded Context Collaboration,
how-autonomy-saved-one-of-spotifys-most-loved-features-from-being-killed,NONE,,Andrea Magnorsky,How Autonomy Saved One of Spotify’s Most Loved Features From Being Killed,
how-cognitive-biases-and-ranking-kills-your-modelling-sessions,HIGH,Evelyn van Kelle; Romeu Moura,Kenny Baas-Schwegler,How cognitive biases and ranking kills your modelling sessions,Evelyn van Kelle=body+known; Romeu Moura=body
how-epistemic-injustice-impacts-domain-crunching-with-cat-swetel,MEDIUM,Cat Swetel,Kenny Baas-Schwegler,How Epistemic injustice impacts Domain Crunching with Cat Swetel,Cat Swetel=title
how-feature-branching-affects-domain-driven-design-with-thierry-de-pauw,NONE,,Kenny Baas-Schwegler,How feature branching affects domain-driven design with Thierry de Pauw,"Thierry de Pauw=title | REVIEW: ""Thierry de Pauw"" looks like two names run together"
how-to-improve-modelling-with-behaviour-driven-development,HIGH,Seb Rose; Steve Tooke; Matt Wynne,Kenny Baas-Schwegler,How to improve modelling with Behaviour-driven development,Seb Rose=body; Steve Tooke=body; Matt Wynne=body+known
how-to-read-the-blue-book-strategic-design-with-mathias-verraes,HIGH,Mathias Verraes,Kenny Baas-Schwegler,How To Read the Blue Book: Strategic Design with Mathias Verraes,Mathias Verraes=title+known
impact-mapping-the-secret-sauce,NONE,,Andrea Magnorsky,Impact Mapping - The Secret Sauce,
impact-mapping-to-manage-change-and-strategic-design,NONE,,Kenny Baas-Schwegler,Impact Mapping to manage change and strategic design,
introducing-ddd-to-your-company-with-barry-o-sullivan,NONE,,Kenny Baas-Schwegler,Introducing DDD to your Company with Barry O Sullivan,
introduction-to-domain-driven-design-and-collaborative-software-design-kenny-baas-schwegler,NONE,,Andrea Magnorsky,Introduction to Domain-Driven Design and Collaborative software design - Kenny Baas-Schwegler,
its-like-10000-streams-when-what-you-need-is-a-queue-chris-simon,MEDIUM,Chris Simon,Andrea Magnorsky,"It's like 10,000 streams when what you need is a queue - Chris Simon",Chris Simon=title
live-coding-legacy-live-coding-with-dr-carola-lilienthal,NONE,,Kenny Baas-Schwegler,Live coding - Legacy live coding with Dr. Carola Lilienthal,"Dr. Carola Lilienthal=title | REVIEW: ""Dr. Carola Lilienthal"" looks like two names run together"
long-term-impact-of-architectural-design-decision,NONE,,Kenny Baas-Schwegler,Long term impact of architectural design decision,
lost-in-bounded-context-translations-with-julie-indu-michael-and-nick,HIGH,Julie Lerman; Indu Alagarsamy; Michael Plöd; Nick Tune,Kenny Baas-Schwegler,"Lost in bounded context translations with Julie, Indu, Michael and Nick",Julie Lerman=body; Indu Alagarsamy=body; Michael Plöd=body+known; Nick Tune=body+known
make-your-tests-tell-the-story-of-your-domain-with-anne-and-mads,NONE,,Kenny Baas-Schwegler,Make your tests tell the story of your domain with Anne and Mads,
managing-domain-knowledge-with-chris-simon,MEDIUM,Chris Simon,Andrea Magnorsky,Managing Domain Knowledge with Chris Simon,Chris Simon=title
one-user-to-bind-them-all-products-teams-and-bounded-contexts,NONE,,Kenny Baas-Schwegler,"One user to bind them all? Products, teams and bounded contexts",
open-sociotechnical-systems-thinking-with-trond-hjorteland,MEDIUM,Trond Hjorteland,Kenny Baas-Schwegler,Open Sociotechnical Systems Thinking with Trond Hjorteland,Trond Hjorteland=title
orchestration-and-choreography-with-laila-bougria-udi-dahan,HIGH,Laila Bougria; Udi Dahan,Kenny Baas-Schwegler,Orchestration and choreography with Laila Bougria & Udi Dahan,Laila Bougria=title+known; Udi Dahan=title
outcome-mapping-for-flow-engineering-with-steve-pereira,MEDIUM,Steve Pereira,Kenny Baas-Schwegler,Outcome Mapping for Flow engineering with Steve Pereira,Steve Pereira=title
patterns-for-the-people-kevlin-henney,MEDIUM,Kevlin Henney,Kenny Baas-Schwegler,Patterns for the People - Kevlin Henney,Kevlin Henney=title
patterns-of-bdd-automation-a-fireside-chat-with-seb-rose-and-gaspar-nagy,MEDIUM,Seb Rose; Gáspár Nagy,Kenny Baas-Schwegler,Patterns of BDD Automation - a Fireside chat with Seb Rose and Gáspár Nagy,Seb Rose=title; Gáspár Nagy=title
practical-residuality-by-barry-m-oreilly,NONE,,Kenny Baas-Schwegler,Practical Residuality by Barry M O'Reilly,
psychologic-safety-in-remote-collaboration-with-gitte-klitgaard,MEDIUM,Gitte Klitgaard,Kenny Baas-Schwegler,Psychologic safety in remote collaboration with Gitte Klitgaard,Gitte Klitgaard=title
relationships-between-problem-and-solution-space,NONE,,Kenny Baas-Schwegler,Relationship(s) between problem and solution space,"Ahukanna Jabe Bloom=body; Indi Young Nick=body | REVIEW: ""Indi Young Nick"" looks like two names run together"
remote-facilitation-with-kirsten-clacey-jay-allen-morris-and-jo-perold,MEDIUM,Kirsten Clacey; Jay-Allen Morris; Jo Perold,Kenny Baas-Schwegler,"Remote facilitation with Kirsten Clacey, Jay-Allen Morris and Jo Perold","Kirsten Clacey=title; Jay-Allen Morris=title; Jo Perold=title; Jo Perold Coach=body | REVIEW: ""Jo Perold Coach"" looks like two names run together"
rethinking-software-development-insights-from-20-years-in-the-field,MEDIUM,Alexander Thurow,Zsofia Herendi,Rethinking software development: insights from 20+ years in the field,Alexander Thurow=body
secure-by-domain-driven-design-with-jessica-dan-bergh-and-daniel,MEDIUM,Dan Bergh,Kenny Baas-Schwegler,"Secure by Domain-driven design with Jessica, Dan Bergh and Daniel",Dan Bergh=title
see-the-forest-for-the-trees-trond-hjorteland,MEDIUM,Trond Hjorteland,Andrea Magnorsky,See the Forest for the Trees - Trond Hjorteland,Trond Hjorteland=title
sharing-your-systems-knowledge-with-bytesize-architecture-sessions-with-andrea-magnorsky,NONE,,Kenny Baas-Schwegler,Sharing your (Systems) knowledge with Bytesize Architecture Sessions with Andrea Magnorsky,
slow-down-to-speed-up-your-decision-making-gien-verschatse,HIGH,Gien Verschatse,Andrea Magnorsky,Slow down to speed up your decision-making - Gien Verschatse,Gien Verschatse=title+known
socio-technical-architecture-with-ora-egozi-barzilai-and-evelyn-van-kelle,HIGH,Ora Egozi-Barzilai; Evelyn van Kelle,Kenny Baas-Schwegler,Socio-technical architecture with Ora Egozi-Barzilai and Evelyn van Kelle,Ora Egozi-Barzilai=title; Evelyn van Kelle=title+known
soft-skills-for-technical-professionals-by-jacqui-read,MEDIUM,Jacqui Read,Andrea Magnorsky,Soft Skills for Technical Professionals by Jacqui Read,Jacqui Read=title
speaking-truth-to-power-practice-argumentation-with-diana,NONE,,Kenny Baas-Schwegler,Speaking truth to power: practice argumentation with Diana,
splitting-systems-towards-bounded-contexts-and-microservices,NONE,,Kenny Baas-Schwegler,Splitting systems towards bounded contexts and microservices,"Rebecca Wirfs-brock Chris=body; Richardson Alberto Brandolini=body; Nick Tune Krisztina=body; Hirth Trond Hjorteland=body | REVIEW: ""Hirth Trond Hjorteland"" looks like two names run together"
sunddday-discussion-cqrs-event-sourcing-systems-with-alexey-and-marco,MEDIUM,Alexey Zimarev,Kenny Baas-Schwegler,SunDDDay discussion: CQRS & Event Sourcing systems with Alexey and Marco,Alexey Zimarev=body
sunddday-discussion-eventstorming-and-user-story-mapping-for-domain-discovery,NONE,,Kenny Baas-Schwegler,SunDDDay discussion: EventStorming and User story mapping for domain discovery,
sunddday-discussion-growing-your-local-ddd-community,NONE,,Kenny Baas-Schwegler,SunDDDay Discussion: Growing your local DDD community,
surviving-a-national-blackout-with-offline-first-architecture-emilio-carrion,MEDIUM,Emilio Carrión,Andrea Magnorsky,Surviving a National Blackout with Offline-First Architecture | Emilio Carrión,Emilio Carrión=title; National Blackout=title
systems-thinking-intro-with-lorraine-steyn,MEDIUM,Lorraine Steyn,Kenny Baas-Schwegler,Systems Thinking Intro with Lorraine Steyn,Lorraine Steyn=title
tdd-as-a-design-tool-with-dave-farley,MEDIUM,Dave Farley,Kenny Baas-Schwegler,TDD as a design tool with Dave Farley,Dave Farley=title
team-topologies-workshop-with-luke-and-andy,NONE,,Andrea Magnorsky,Team Topologies Workshop with Luke and Andy,
