slug,date,title,youtube_id,other_url
lost-in-transaction-bernd-ruecker-ddd-europe-2019,2019-12-21,Lost in transaction  - Bernd Ruecker - DDD Europe 2019,WRR26jJNh68,
make-your-tests-tell-the-story-of-your-domain-anne-landro-mads-opheim-ddd-europe-2019,2019-05-03,Make your tests tell the story of your domain - Anne Landro & Mads Opheim - DDD Europe 2019,e51BkMuZtIc,
make-your-tests-tell-the-story-of-your-domain-mads-opheim-anne-landro-kandddinsky-2019,2021-05-21,"Make your tests tell the story of your domain - Mads Opheim, Anne Landro - KanDDDinsky 2019",j70OLAvs_-8,
make-your-tests-tell-the-story-of-your-domain-with-anne-and-mads,2019-11-12,Make your tests tell the story of your domain with Anne and Mads,7_KZ8_R4oOU,
making-a-difference-by-making-sense-tobias-goeschel,2023-12-07,Making a Difference by Making Sense - Tobias Goeschel,C5AEc19woIo,
managing-domain-knowledge-with-chris-simon,2024-03-14,Managing Domain Knowledge with Chris Simon,uk7hCIRJmW4,
marco-heimeshoff-talk-session-software-development-is-not-about-software,2018-01-28,Marco Heimeshoff - Talk Session: Software Development Is Not About Software,5AcYKhB4hu4,
martin-kleppmann-event-sourcing-and-stream-processing-at-scale,2022-01-02,Martin Kleppmann — Event Sourcing and Stream Processing at Scale,avi-TZI9t2I,
martin-schimak-tackling-complex-event-flows,2023-02-03,Martin Schimak - Tackling Complex Event Flows,_pJGwvVRwpg,
martin-schimak-talk-session-know-the-flow-events-commands-long-running-services,2023-02-06,"Martin Schimak - Talk Session: Know the Flow! Events, Commands & Long-Running Services",uSF5hyfez60,
mathias-verraes-emergent-boundaries,2023-04-05,Mathias Verraes - Emergent Boundaries,ECM1rPYxvD4,
mathias-verraes-talk-session-temporal-modeling,2018-12-06,Mathias Verraes - Talk Session: Temporal Modeling,hh5lskgATCk,
mauro-servienti-talk-session-all-our-aggregates-are-wrong,2018-01-28,Mauro Servienti - Talk Session: All Our Aggregates Are Wrong,KkzvQSuYd5I,
mauro-servienti-talk-session-welcome-to-the-state-machine,2019-12-22,Mauro Servienti - Talk Session: Welcome to the (State) Machine,26xrX113KZc,
meet-the-social-side-of-your-architecture-adam-tornhill-kandddinsky-2019,2019-10-05,Meet the Social Side of Your Architecture - Adam Tornhill - KanDDDinsky 2019,s2hrl9bSG7w,
metaphor-as-boundary-julia-petretta-stuart-curran-ddd-europe-2021,2016-05-30,Metaphor as boundary - Julia Petretta &amp; Stuart Curran - DDD Europe 2021,07J2FAG_B-E,
metaphors-we-code-by-kevlin-henney,2023-12-24,Metaphors We Code By - Kevlin Henney,OqXP3Yepb58,
michael-feathers-keynote-error-elimination-as-a-design-driver,2018-01-28,Michael Feathers - Keynote: Error Elimination as a Design Driver,3RtLCav0Bp4,
mistakes-made-adopting-event-sourcing-and-how-we-recovered-nat-pryce-ddd-europe-2020,2017-08-26,Mistakes made adopting event sourcing (and how we recovered) - Nat Pryce - DDD Europe 2020,osk0ZBdBbx4,
modeling-complex-processes-and-time-with-saga-process-manager-patterns-mariusz-gil,2019-10-05,Modeling complex processes and time with Saga/Process Manager patterns - Mariusz Gil,WvjTCmeGlGA,
modelling-for-mistakes-alexander-langer-ddd-europe-2018,2020-10-14,Modelling for Mistakes - Alexander Langer - DDD Europe 2018,xoo3pbEKxhM,
modelling-inspired-by-brain-sudhakar-moparthy-ddd-europe-2019,2019-07-08,Modelling inspired by brain - Sudhakar Moparthy - DDD Europe 2019,JcSfis_w1kk,
modelling-the-domain-model-with-the-users-mental-model-in-mind-anita-kvamme-ddd-europe-2019,2019-12-21,Modelling the Domain Model with the users mental model in mind - Anita Kvamme - DDD Europe 2019,A1J6pP_qhv4,
modelling-time-eric-evans-ddd-europe-2018,2020-10-14,Modelling Time - Eric Evans - DDD Europe 2018,T29WzvaPNc8,
modelling-universal-values-peter-hilton-ddd-europe-2022,2018-10-15,Modelling universal values - Peter Hilton - DDD Europe 2022,7hoMwLdoqKc,
multiple-models-with-multiple-perspectives-in-a-cross-functional-team-mufrid-krilic,2023-12-02,Multiple Models with Multiple Perspectives in a Cross-Functional Team - Mufrid Krilic,JUNkVv--PBM,
naming-in-ddd-sepehr-namdar-khaled-souf-ddd-eu-2022,2017-10-19,Naming in DDD - Sepehr Namdar &amp; Khaled Souf - DDD EU 2022,KHgftXIlGsY,
nataliya-remez-talk-session-the-journey-to-outcome-oriented-teams,2018-12-12,Nataliya Remez - Talk Session: The Journey to Outcome Oriented Teams,Nvaz_AfHR8I,
new-approach-to-architecture-h-law-montalion-rozinsky-thiyagarajan-young-ddd-europe-2022,2017-10-19,"New Approach to Architecture - H.-Law, Montalion, Rozinsky, Thiyagarajan, Young - DDD Europe 2022",HTzUpNd_7E4,
nick-tune-talk-session-sociotechnical-ddd,2018-12-19,Nick Tune - Talk Session: Sociotechnical DDD,EOof9dof0y0,
nick-tune-talk-session-strategic-autonomous-design-patterns-heuristics,2023-02-10,Nick Tune - Talk Session: Strategic Autonomous Design: Patterns & Heuristics,mEFbjt_87TU,
nicolo-pignatelli-metaphor-driven-design,2023-04-22,Nicolò Pignatelli - Metaphor Driven Design,W48jCt2fImY,
nina-event-storming-%e5%af%a6%e6%88%b0%e7%b6%93%e9%a9%97%e5%88%86%e4%ba%ab,2022-12-17,Nina - Event Storming 實戰經驗分享,86pvMaVyV6Q,
no-code-does-not-mean-no-model-marijn-huizendveld,2023-12-21,No-code does not mean no-model - Marijn Huizendveld,Hzi3oAArryE,
no-you-dont-need-to-access-my-data-alberto-brandolini-ddd-europe-2021,2017-10-19,"No, you don't need to access my data - Alberto Brandolini - DDD Europe 2021",gU-p90-EYSY,
odds-and-endds-vaughn-vernon,2021-12-26,oDDs and enDDs - Vaughn Vernon,4UZZjyQDgT8,
old-school-system-dynamics-in-a-data-science-first-world-wim-debreuck-ddd-europe-2019,2019-08-14,Old School System Dynamics in a Data Science First World - Wim Debreuck - DDD Europe 2019,oK-EVyyC-gM,
one-user-to-bind-them-all-products-teams-and-bounded-contexts,2020-07-29,"One user to bind them all? Products, teams and bounded contexts",wMX9PdRYuRo,
open-sociotechnical-systems-thinking-with-trond-hjorteland,2021-11-22,Open Sociotechnical Systems Thinking with Trond Hjorteland,f9ywr8Mo9k4,
orchestration-and-choreography-with-laila-bougria-udi-dahan,2023-07-26,Orchestration and choreography with Laila Bougria & Udi Dahan,YaEbDVg_z_w,
outcome-mapping-for-flow-engineering-with-steve-pereira,2021-09-01,Outcome Mapping for Flow engineering with Steve Pereira,1XA4bUcgp8Q,
patterns-for-the-people-kevlin-henney,2019-04-02,Patterns for the People - Kevlin Henney,,https://www.ustream.tv/embed/recorded/120901497
paul-rayner-how-agile-can-cripple-effective-design-work-and-what-to-do-about-it,2021-12-29,Paul Rayner — How Agile Can Cripple Effective Design Work (and what to do about it),Bl30X0MvT0I,
paul-rayner-refactoring-to-a-deeper-model,2023-03-08,Paul Rayner - Refactoring to a Deeper Model,vO86vdkv0wM,
paul-rayner-talk-session-modeling-team-flow,2018-12-18,Paul Rayner - Talk Session: Modeling Team Flow,q80FiugsO1Q,
people-and-patterns-andrew-harmel-law-ddd-europe-2021,2017-08-21,People and Patterns - Andrew Harmel Law - DDD Europe 2021,ozB-60pGbDM,
pitching-ddd-to-the-management-michael-plod-kandddinsky-2019,2019-10-04,Pitching DDD to the management - Michael Plöd - KanDDDinsky 2019,bY5Q3LoNPeQ,
pragmatic-approach-to-architecture-metrics-vlad-khononov-sonya-natanzon,2023-12-22,Pragmatic Approach to Architecture Metrics - Vlad Khononov &amp; Sonya Natanzon,RIEdY8gZ4wU,
pragmatic-architecture-how-to-know-when-its-enough,2025-06-17,Pragmatic Architecture: How to Know When It’s Enough,lBr3epMsk-0,
predictive-models-of-development-teams-and-the-systems-they-build-robert-smallshire,2020-10-02,Predictive Models of Development Teams and the Systems They Build - Robert Smallshire,_0hjcq6LAHw,
preparing-for-a-future-microservices-journey-using-wardley-maps-susanne-kaiser-ddd-europe-2020,2018-11-06,Preparing For a Future Microservices Journey Using Wardley Maps - Susanne Kaiser - DDD Europe 2020,csjaxNGF5LQ,
projections-explained-yves-reynhout-ddd-europe-2020,2017-10-26,Projections Explained  - Yves Reynhout - DDD Europe 2020,b2kSlDcAcps,
promise-purpose-why-understanding-promise-theory-can-make-you-better-at-ddd-kiki-carter,2020-10-14,Promise & Purpose: Why understanding Promise Theory can make you better at DDD - Kiki Carter,UvrygFuidGc,
psychologic-safety-in-remote-collaboration-with-gitte-klitgaard,2020-09-29,Psychologic safety in remote collaboration with Gitte Klitgaard,KMvEt18aO5c,
putting-it-all-together-marijn-huizendveld-ddd-europe-2019,2019-11-12,Putting it all together - Marijn Huizendveld - DDD Europe 2019,NLMOxse2EGc,
qa-eric-evans-cyrille-martraire-ddd-europe-2021,2016-05-10,Q&amp;A - Eric Evans &amp; Cyrille Martraire - DDD Europe 2021,MWhs97tUvvw,
readable-code-laura-savino-ddd-europe-2018,2020-10-02,Readable Code - Laura Savino - DDD Europe 2018,vkb9z68nhyo,
rebecca-wirfs-brock-keynote-cultivating-your-design-heuristics,2023-03-22,Rebecca Wirfs-Brock - Keynote: Cultivating Your Design Heuristics,fWCt5KWfTuo,
reductionism-holism-in-ddd-trond-hjorteland-ddd-europe-2021,2017-10-30,Reductionism &amp; Holism in DDD - Trond Hjorteland - DDD Europe 2021,oW5Rk-AEg1A,
